task_id,gsm8k_index,step,operand,new_operand,delta,operand_in_question,clean,steps_recomputed,divergent_answer,reference_answer,wiring,dropped_links,nonneg_changed_selection,nonneg_rejected_candidate,nonneg_rejected_answer,nonneg_fallback_negative_kept
gsm8k-test-0000,0,1,2,3,1,True,True,1,27,18,identical,0,False,,,False
gsm8k-test-0001,1,1,2,3,1,True,True,1,4,3,identical,0,False,,,False
gsm8k-test-0002,2,2,80000,80001,1,True,True,2 3,70001,70000,identical,0,False,,,False
gsm8k-test-0003,3,1,60,61,1,True,True,1,549,540,identical,0,False,,,False
gsm8k-test-0004,4,1,25,26,1,True,True,1,19,20,identical,0,False,,,False
gsm8k-test-0005,5,3,5,6,1,True,True,3 4,72,64,identical,0,False,,,False
gsm8k-test-0006,6,2,20,21,1,True,True,2,261,260,identical,0,False,,,False
gsm8k-test-0007,7,3,20,21,1,True,True,3,161,160,identical,0,False,,,False
gsm8k-test-0008,8,4,80,81,1,True,True,4 5 6,43.5,45,identical,0,False,,,False
gsm8k-test-0009,9,3,10,11,1,True,True,3 4,500,460,identical,0,False,,,False
gsm8k-test-0010,10,2,30,31,1,True,True,2 3 4,364.2,366,identical,0,False,,,False
gsm8k-test-0011,11,2,6,7,1,True,True,2 3,749,694,identical,0,False,,,False
gsm8k-test-0012,12,0,7,8,1,True,True,0 1 2 3,11,13,identical,0,True,step 1: 3 -> 13 (delta 10),-35,False
gsm8k-test-0016,16,1,150,151,1,True,True,1 2 3,231,230,identical,0,False,,,False
gsm8k-test-0017,17,3,50,51,1,True,True,3,58650,57500,identical,0,False,,,False
gsm8k-test-0018,18,1,4,5,1,True,True,1 2,8.75,7,identical,0,False,,,False
gsm8k-test-0019,19,2,12,13,1,True,True,2 3,7,6,identical,0,False,,,False
gsm8k-test-0020,20,2,3,4,1,False,True,2 3,13.5,15,identical,0,False,,,False
gsm8k-test-0021,21,1,31,32,1,True,True,1,15,14,identical,0,False,,,False
gsm8k-test-0022,22,1,2,4,2,True,True,1 2,11,7,identical,0,False,,,False
gsm8k-test-0023,23,1,2,3,1,True,True,1,12,8,identical,0,False,,,False
gsm8k-test-0025,25,4,8.5,9.5,1,True,False,4,1.7894736842105263,2,identical,0,False,,,False
gsm8k-test-0026,26,0,3,4,1,True,True,0,324,243,identical,0,False,,,False
gsm8k-test-0027,27,0,4,5,1,True,True,0,20,16.00,identical,0,False,,,False
gsm8k-test-0028,28,1,60,61,1,True,True,1,26,25,identical,0,False,,,False
gsm8k-test-0031,31,3,3,4,1,False,True,3,60,80,identical,0,False,,,False
gsm8k-test-0032,32,0,10,11,1,True,True,0 1,38.5,35,identical,0,False,,,False
gsm8k-test-0033,33,1,30,31,1,True,True,1,71,70,identical,0,False,,,False
gsm8k-test-0035,35,2,4,5,1,True,True,2,10,9,identical,0,False,,,False
gsm8k-test-0036,36,2,5,6,1,True,True,2,90,75.00,identical,0,False,,,False
gsm8k-test-0038,38,0,7,9,2,False,True,0 1 2 3 4,7.5,10,identical,0,False,,,False
gsm8k-test-0039,39,0,2,3,1,False,True,0 1 2 3 4 5,36,18,identical,0,False,,,False
gsm8k-test-0040,40,0,1,2,1,True,True,0 1,16,8,identical,0,False,,,False
gsm8k-test-0041,41,1,1000,1001,1,True,True,1,199,200,identical,0,False,,,False
gsm8k-test-0042,42,1,14,15,1,True,True,1,25,26,identical,0,False,,,False
gsm8k-test-0044,44,1,10,11,1,True,True,1 2 3,22,20.00,identical,0,False,,,False
gsm8k-test-0045,45,3,4,5,1,True,True,3,130,104,identical,0,False,,,False
gsm8k-test-0046,46,0,80,81,1,True,True,0,162,163,identical,0,False,,,False
gsm8k-test-0047,47,5,200,201,1,True,True,5,801,800,identical,0,False,,,False
gsm8k-test-0048,48,1,6,8,2,True,True,1,6,8,identical,0,False,,,False
gsm8k-test-0049,49,1,3,4,1,True,True,1 2,0,30,identical,0,False,,,False
gsm8k-test-0050,50,2,2,3,1,True,True,2,441,294,identical,0,False,,,False
gsm8k-test-0051,51,2,6,8,2,True,True,2,3.75,5,identical,0,False,,,False
gsm8k-test-0053,53,1,12,13,1,True,True,1 2,0,40,identical,0,False,,,False
gsm8k-test-0054,54,2,7,8,1,True,True,2,41,40,identical,0,False,,,False
gsm8k-test-0055,55,1,2,4,2,True,True,1,7,14,identical,0,False,,,False
gsm8k-test-0056,56,0,7,8,1,True,True,0 1,2.8,3,identical,0,False,,,False
gsm8k-test-0057,57,1,15,25,10,True,True,1,49.8,83,identical,0,False,,,False
gsm8k-test-0058,58,1,40,41,1,True,True,1,58,57.00,identical,0,False,,,False
gsm8k-test-0059,59,1,67,68,1,True,True,1,188,187,identical,0,False,,,False
gsm8k-test-0060,60,2,25,26,1,True,True,2,18,17,identical,0,False,,,False
gsm8k-test-0061,61,0,500,501,1,True,True,0 1 2,1431.1,1430,identical,0,False,,,False
gsm8k-test-0063,63,3,140,141,1,True,True,3 4 5,1602,1596,identical,0,False,,,False
gsm8k-test-0064,64,1,12,13,1,True,True,1,325,300,identical,0,False,,,False
gsm8k-test-0065,65,3,4,5,1,True,True,3,45,36,identical,0,False,,,False
gsm8k-test-0066,66,1,5,6,1,True,True,1 3 4,56,48,identical,0,False,,,False
gsm8k-test-0067,67,2,175,176,1,True,True,2,596,595,identical,0,False,,,False
gsm8k-test-0068,68,2,5,6,1,True,True,2,30,36,identical,0,False,,,False
gsm8k-test-0069,69,1,100,101,1,True,True,1,61,60,identical,0,False,,,False
gsm8k-test-0070,70,3,15,16,1,True,True,3,7920,7425,identical,0,False,,,False
gsm8k-test-0071,71,1,20,21,1,True,True,1,61,60,identical,0,False,,,False
gsm8k-test-0072,72,1,23,24,1,True,True,1 2,225,221,identical,0,False,,,False
gsm8k-test-0073,73,0,2,4,2,True,True,0 1 2 3,130,255,identical,0,False,,,False
gsm8k-test-0074,74,2,17,19,2,True,True,2 3,92,88,identical,0,False,,,False
gsm8k-test-0075,75,4,4,5,1,True,True,4,48,60,identical,0,False,,,False
gsm8k-test-0076,76,4,110,111,1,True,False,4,4.954954954954955,5,identical,0,False,,,False
gsm8k-test-0077,77,0,400,401,1,True,True,0 1,99.75,100,identical,0,False,,,False
gsm8k-test-0078,78,2,18,19,1,True,True,2 3 4,5.5,6,identical,0,False,,,False
gsm8k-test-0079,79,1,100,101,1,True,True,1,71,70,identical,0,False,,,False
gsm8k-test-0080,80,3,24,25,1,True,True,3,11,10,identical,0,False,,,False
gsm8k-test-0082,82,1,125,126,1,True,True,1,624,623,identical,0,False,,,False
gsm8k-test-0083,83,1,8,9,1,True,True,1,675,600,identical,0,False,,,False
gsm8k-test-0085,85,0,34,35,1,True,True,0 1 2,48,44,identical,0,False,,,False
gsm8k-test-0086,86,2,4,5,1,False,True,2,23,22,identical,0,False,,,False
gsm8k-test-0087,87,0,10,11,1,True,True,0 1 2,9576,9360,identical,0,False,,,False
gsm8k-test-0089,89,1,2,3,1,True,True,1,36,24,identical,0,False,,,False
gsm8k-test-0090,90,1,20,21,1,True,True,1 3,235,225,identical,0,False,,,False
gsm8k-test-0091,91,2,4,5,1,False,True,2,29,28,identical,0,False,,,False
gsm8k-test-0093,93,0,38,40,2,True,True,0 1 2,37.8,36,identical,0,False,,,False
